	Length	Tokens	Unique Tokens	Avg Token Length	Entities	Unique Entities	Avg Entity Length	Density	B-PER	I-PER	B-LOC	I-LOC	B-ORG	I-ORG	B-MISC	I-MISC	O
0	9	['chris', 'hoiles', 'hit', 'his', '22nd', 'homer', 'for', 'baltimore', '.']	1	4.333333333333333	['chris', 'hoiles', 'baltimore']	1	6.666666666666667	33.33333333333333	1	1	1	0	0	0	0	0	6
1	34	"['ansa', 'said', '$UNK$', 'was', 'unable', 'to', 'recall', 'how', 'he', 'had', 'killed', 'the', 'women', ',', 'remembering', 'only', 'that', 'he', 'had', 'found', 'them', '""', 'lifeless', 'in', 'his', 'arms', '""', 'after', 'having', '$UNK$', 'sex', 'with', 'them', '.']"	1	3.911764705882353	['ansa', '$UNK$']	0	4.5	5.88235294117647	0	0	0	0	1	0	0	0	32
2	4	['pontiac', ',', 'mich', '.']	0	3.25	['pontiac', 'mich']	0	5.5	50.0	0	0	2	0	0	0	0	0	2
3	4	['oakland', '$NUM$', 'baltimore', '$NUM$']	0	6.5	['oakland', 'baltimore']	0	8.0	50.0	0	0	0	0	2	0	0	0	2
4	10	['dac', '$UNK$', 'streda', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$', '$NUM$']	0	4.9	['dac', '$UNK$', 'streda']	0	4.666666666666667	30.0	0	0	0	0	1	1	0	0	7
5	39	"['""', 'the', 'defence', 'ministers', 'will', 'begin', 'negotiations', 'for', 'this', 'at', 'the', 'beginning', 'of', 'september', 'at', 'a', 'nato', 'meeting', ',', '""', 'he', 'told', 'the', 'newspaper', 'in', 'an', 'interview', ',', 'excerpts', 'of', 'which', 'were', 'released', 'ahead', 'of', 'publication', 'on', 'sunday', '.']"	1	4.487179487179487	['nato']	0	4.0	2.564102564102564	0	0	0	0	1	0	0	0	38
6	10	['key', 'stock', 'and', 'currency', 'market', 'movements', 'at', '$NUM$', 'gmt', '.']	0	4.5	['gmt']	0	3.0	10.0	0	0	0	0	0	0	1	0	9
7	2	['tokyo', '$UNK$']	0	5.0	['tokyo']	0	5.0	50.0	0	0	1	0	0	0	0	0	1
8	4	['flamengo', '$NUM$', 'juventude', '$NUM$']	0	6.75	['flamengo', 'juventude']	0	8.5	50.0	0	0	0	0	2	0	0	0	2
9	24	"['borsuk', 'said', 'the', 'farm', 'sector', 'has', 'two', 'options', ':', '""', 'we', 'can', 'sit', 'down', 'and', 'cry', ',', 'or', 'we', 'can', 'do', 'something', '.', '""']"	0	3.2083333333333335	['borsuk']	0	6.0	4.166666666666666	1	0	0	0	0	0	0	0	23
10	9	['5.', 'wim', 'omloop', '(', 'belgium', ')', '$UNK$', 'same', 'time']	1	3.6666666666666665	['wim', 'omloop', 'belgium', '$UNK$']	1	5.25	44.44444444444444	1	1	1	0	0	0	0	0	5
